iter	Logloss
0	0.6646419142
1	0.6400440511
2	0.6157664984
3	0.5941135821
4	0.5756447695
5	0.5566129599
6	0.538628433
7	0.5216324813
8	0.5053130043
9	0.4924459717
10	0.479903246
11	0.4682581509
12	0.4569190508
13	0.4463576959
14	0.4367579841
15	0.428152225
16	0.4202859304
17	0.4129458755
18	0.4061397625
19	0.4000629744
20	0.3945939945
21	0.3899516407
22	0.385027533
23	0.3797761337
24	0.376274892
25	0.3718428768
26	0.3682150123
27	0.3639384897
28	0.3611298087
29	0.3586094534
30	0.3560875921
31	0.3532891445
32	0.3501953891
33	0.3480939933
34	0.3458463182
35	0.3439214475
36	0.3417202053
37	0.3395512501
38	0.3377021133
39	0.3360456994
40	0.333926883
41	0.3322702847
42	0.3308049573
43	0.3295285417
44	0.3280905334
45	0.3268436315
46	0.325548721
47	0.3240096238
48	0.3223273932
49	0.3210147905
50	0.3200595533
51	0.3192644085
52	0.3179258265
53	0.3164433078
54	0.3154825368
55	0.3147363734
56	0.3139789758
57	0.3131875372
58	0.3123171029
59	0.3113335218
60	0.310961899
61	0.3101725337
62	0.3096374421
63	0.3091340015
64	0.3080113264
65	0.3073074706
66	0.3064900416
67	0.3060641323
68	0.3053587602
69	0.3048645535
70	0.3042555356
71	0.3036781792
72	0.3031836926
73	0.3025355049
74	0.3021514458
75	0.3014344727
76	0.3010335158
77	0.3007044657
78	0.3002742608
79	0.2997493225
80	0.2994614995
81	0.2989272024
82	0.2983627275
83	0.2980876625
84	0.297745663
85	0.2974873153
86	0.2971998694
87	0.2969289702
88	0.2965333482
89	0.2963589937
90	0.2960575994
91	0.2957944107
92	0.2954671568
93	0.2952174614
94	0.2949983633
95	0.2947111118
96	0.2944618935
97	0.2941625098
98	0.293856822
99	0.2936410204
100	0.293397684
101	0.293097834
102	0.2928856415
103	0.2926835263
104	0.2924458686
105	0.2919844635
106	0.2917310283
107	0.2915271501
108	0.2912515961
109	0.2908765436
110	0.2906668114
111	0.2904387469
112	0.2902496672
113	0.2900846173
114	0.2897738816
115	0.2895925282
116	0.2894421695
117	0.2892574751
118	0.2890841417
119	0.2889162487
120	0.2886644177
121	0.2885161097
122	0.2883303563
123	0.2881316104
124	0.2879128903
125	0.2877046627
126	0.2875027159
127	0.2872302771
128	0.2871163173
129	0.2869463221
130	0.2866926489
131	0.2864229612
132	0.2862832044
133	0.2861007657
134	0.2859356378
135	0.285811661
136	0.285622958
137	0.2853456907
138	0.2851809122
139	0.2850510702
140	0.2849158701
141	0.2847824956
142	0.2846055092
143	0.2843894382
144	0.2842281098
145	0.2840511948
146	0.2838169354
147	0.2836310227
148	0.2834691366
149	0.2833286415
150	0.2831105553
151	0.282955964
152	0.2827083931
153	0.282556288
154	0.2824249527
155	0.2822853339
156	0.2821296955
157	0.2819797598
158	0.2817529475
159	0.2815984015
160	0.2814138192
161	0.2811961675
162	0.2810907538
163	0.280958751
164	0.2808743864
165	0.2806778331
166	0.280532585
167	0.2803375314
168	0.2802113889
169	0.2801031585
170	0.279969394
171	0.2798799732
172	0.2798010983
173	0.2796188504
174	0.2794498777
175	0.2793017014
176	0.279120293
177	0.2789844612
178	0.2789021698
179	0.2787261889
180	0.278570408
181	0.278469356
182	0.2783449981
183	0.2780841322
184	0.2779237851
185	0.2777774411
186	0.2777035081
187	0.27745088
188	0.2773379749
189	0.277264411
190	0.2769786181
191	0.2768509857
192	0.2767084357
193	0.2765965946
194	0.2764669437
195	0.2762887458
196	0.2761328978
197	0.2760218676
198	0.2759173183
199	0.2757830842
200	0.2756162736
201	0.2754480877
202	0.2753251173
203	0.2751967172
204	0.2750632319
205	0.2749631831
206	0.2748043163
207	0.2746582866
208	0.2745245544
209	0.2744184649
210	0.2743212741
211	0.2742134387
212	0.2741264349
213	0.274025618
214	0.2738945031
215	0.2737865724
216	0.2736103761
217	0.2733988653
218	0.2732070363
219	0.2730245213
220	0.2729022187
221	0.2727875971
222	0.272682956
223	0.2725318208
224	0.2723887251
225	0.2722674107
226	0.2721268721
227	0.271986117
228	0.2718502129
229	0.271742628
230	0.2715386093
231	0.2714017333
232	0.2711309978
233	0.2710335378
234	0.2709295106
235	0.2708565423
236	0.2707550746
237	0.2706463494
238	0.2705825211
239	0.2704424067
240	0.2702830666
241	0.2701671788
242	0.2700462739
243	0.2698764545
244	0.2697337423
245	0.269606092
246	0.2694796229
247	0.2693563343
248	0.2692575082
249	0.269187763
250	0.2690873724
251	0.268933768
252	0.268722935
253	0.2685580039
254	0.2684422694
255	0.2682833725
256	0.2681737536
257	0.2680452946
258	0.2679214895
259	0.2676802205
260	0.2676172631
261	0.2674605181
262	0.2672587436
263	0.2671206713
264	0.2670210509
265	0.2667807807
266	0.2666723085
267	0.2665287951
268	0.2664322683
269	0.2663052226
270	0.2661916096
271	0.2660826426
272	0.2659339781
273	0.2657570098
274	0.2656336946
275	0.2654523879
276	0.2653089502
277	0.2652027283
278	0.2650697773
279	0.2650000884
280	0.2649290413
281	0.2647658435
282	0.2645471107
283	0.2644388234
284	0.2642640644
285	0.26410037
286	0.2640120479
287	0.263900375
288	0.2637379917
289	0.2636726111
290	0.2635899042
291	0.2633830592
292	0.2632313769
293	0.2630599192
294	0.2629462633
295	0.2627699431
296	0.2626945464
297	0.2625255166
298	0.2624163166
299	0.2623542287
300	0.2622615326
301	0.2621623298
302	0.2620484253
303	0.2619236151
304	0.2617895861
305	0.2616154974
306	0.2614228357
307	0.2612762661
308	0.261234059
309	0.2611031555
310	0.2609116399
311	0.2608322808
312	0.2606901721
313	0.2605709521
314	0.2603768529
315	0.2602540919
316	0.2601216141
317	0.2599809404
318	0.259857691
319	0.259696452
320	0.2595858052
321	0.259490191
322	0.2593167996
323	0.2592147674
324	0.2591215732
325	0.2589228278
326	0.2587208539
327	0.2585853923
328	0.2583559955
329	0.2581430522
330	0.2579333455
331	0.2578522291
332	0.2576879358
333	0.2574868254
334	0.2573680968
335	0.2571818289
336	0.2570769833
337	0.2569680046
338	0.2568425145
339	0.2567134097
340	0.256651237
341	0.2563666777
342	0.2562133699
343	0.2560671421
344	0.2559057165
345	0.2556678892
346	0.2555616116
347	0.2553846834
348	0.255254238
349	0.2551102183
350	0.2550796234
351	0.2549288727
352	0.2547586166
353	0.2545830446
354	0.2544945344
355	0.2543208776
356	0.2541641079
357	0.2539841993
358	0.2537648965
359	0.2535962779
360	0.2534245468
361	0.2533304523
362	0.2531552239
363	0.2530128367
364	0.2528731672
365	0.252666526
366	0.2525420062
367	0.2524193591
368	0.2522686769
369	0.2521354818
370	0.2520282229
371	0.2518468618
372	0.2517222918
373	0.2515602171
374	0.2514556977
375	0.2512102644
376	0.2510905096
377	0.2510395834
378	0.2508937625
379	0.2507559019
380	0.2506118517
381	0.2504464044
382	0.2502665108
383	0.2501755061
384	0.2500082177
385	0.2498726775
386	0.2495813673
387	0.249479703
388	0.2493387559
389	0.2491799409
390	0.2490140868
391	0.2489130967
392	0.2487490013
393	0.2485627787
394	0.2483844474
395	0.2481264529
396	0.2479708158
397	0.2477551444
398	0.2475949355
399	0.2474575209
400	0.2473436681
401	0.2472291476
402	0.2470968748
403	0.2469787275
404	0.2468297133
405	0.2466916686
406	0.2465560023
407	0.2464473539
408	0.2462918116
409	0.2461159493
410	0.2459783154
411	0.2458330411
412	0.2456398291
413	0.2454175119
414	0.2452975311
415	0.2451624144
416	0.2450161867
417	0.2449101708
418	0.2447029493
419	0.2445407411
420	0.2444170818
421	0.2442948204
422	0.2441586329
423	0.2440386327
424	0.2439409638
425	0.2437460862
426	0.2436067851
427	0.2434336799
428	0.2433269377
429	0.2431601303
430	0.2430252809
431	0.2429673983
432	0.2428237494
433	0.242694633
434	0.2424704384
435	0.242348819
436	0.2422186811
437	0.2420836514
438	0.2419370061
439	0.2418018395
440	0.2416761549
441	0.2415475479
442	0.2414062694
443	0.2412014719
444	0.241105217
445	0.2409860961
446	0.2408969213
447	0.2407420331
448	0.2406170166
449	0.2405335568
450	0.2404063234
451	0.2402566183
452	0.2400873139
453	0.2399283919
454	0.2398282079
455	0.2397470823
456	0.2396064893
457	0.2394642534
458	0.2393267593
459	0.2391504407
460	0.2390590179
461	0.2388818019
462	0.2387329367
463	0.2386212552
464	0.2385049901
465	0.2383945236
466	0.2381431086
467	0.2379822604
468	0.237872286
469	0.2377235992
470	0.2375671255
471	0.2374291474
472	0.2373024726
473	0.2371558289
474	0.2370369976
475	0.2369356965
476	0.2367735901
477	0.2366543164
478	0.2365268457
479	0.2363889345
480	0.2362116696
481	0.2360623759
482	0.2358909357
483	0.2357291533
484	0.2356128577
485	0.2355090131
486	0.2353697926
487	0.2352470445
488	0.2351550753
489	0.2350552356
490	0.2349058316
491	0.2347771276
492	0.2346056067
493	0.234472681
494	0.2342916307
495	0.2341672355
496	0.2341142084
497	0.234021512
498	0.2338501996
499	0.2337296558
500	0.2336068521
501	0.2335110805
502	0.2333870779
503	0.2332532337
504	0.2331026465
505	0.2329770841
506	0.2328062427
507	0.2326455051
508	0.2324958964
509	0.2323389727
510	0.2322395703
511	0.2320785073
512	0.2319000669
513	0.2317147823
514	0.2316068055
515	0.2314952518
516	0.2313192392
517	0.2312036779
518	0.2310949731
519	0.2310082657
520	0.2308727674
521	0.2307248952
522	0.2305491328
523	0.2304295708
524	0.2303480209
525	0.2301955417
526	0.2300540901
527	0.2299662265
528	0.2298660452
529	0.2297236101
530	0.2295485767
531	0.2294112045
532	0.2292667552
533	0.229144897
534	0.2290279811
535	0.2289257831
536	0.2287706655
537	0.2286167337
538	0.2285071685
539	0.2284051575
540	0.2282684834
541	0.2281597781
542	0.2280251562
543	0.2278622549
544	0.227778481
545	0.227661669
546	0.2275272807
547	0.2274171749
548	0.2273403427
549	0.2271801447
550	0.2270246378
551	0.2269396767
552	0.2267828728
553	0.2266136073
554	0.2265092727
555	0.2263614803
556	0.2261796646
557	0.2260790495
558	0.225876195
559	0.2258397932
560	0.2257408842
561	0.2256507394
562	0.2255362319
563	0.225378106
564	0.2251988081
565	0.2250176432
566	0.224868988
567	0.2247802313
568	0.2246680553
569	0.224558915
570	0.2244401344
571	0.2242878517
572	0.2241439426
573	0.224009421
574	0.2238850364
575	0.2237623499
576	0.2236793882
577	0.2235457656
578	0.2234053233
579	0.2232259946
580	0.2231253092
581	0.2229762952
582	0.2228342433
583	0.2227161103
584	0.2225575107
585	0.2224381372
586	0.222324624
587	0.2222050072
588	0.222085551
589	0.221976411
590	0.2218080194
591	0.2216823193
592	0.2215539598
593	0.2213969674
594	0.2213040835
595	0.2211428964
596	0.2210216935
597	0.2209011424
598	0.2207746414
599	0.2206851674
600	0.2205977867
601	0.2204022936
602	0.2203087466
603	0.2201962431
604	0.2200383042
605	0.2199082229
606	0.2197639547
607	0.2196757092
608	0.2195013633
609	0.2193907935
610	0.219224031
611	0.219138235
612	0.2189906599
613	0.2188954727
614	0.2187894523
615	0.2186996685
616	0.2186237343
617	0.2185279943
618	0.2183632553
619	0.2182603411
620	0.2181508463
621	0.2180727579
622	0.2179388372
623	0.2178341759
624	0.2177446936
625	0.2176378007
626	0.2175268488
627	0.2173891249
628	0.2172691825
629	0.2171335191
630	0.2170301124
631	0.2168837784
632	0.2167509556
633	0.2166176341
634	0.216453918
635	0.2163395966
636	0.216235666
637	0.2160946378
638	0.2160210019
639	0.2158840172
640	0.2157864357
641	0.2156215204
642	0.2155425457
643	0.2153877926
644	0.2152812467
645	0.2151274633
646	0.2150017675
647	0.2148859138
648	0.2147728801
649	0.2145995772
650	0.2145037736
651	0.2144231247
652	0.2142907368
653	0.214147011
654	0.2140197869
655	0.2138805099
656	0.2137712483
657	0.2136311224
658	0.2135439749
659	0.2134187459
660	0.2133302645
661	0.2132567252
662	0.2131358677
663	0.2130820992
664	0.2129345455
665	0.2128319036
666	0.212768232
667	0.2126623067
668	0.2125202915
669	0.2123916318
670	0.2122632549
671	0.2121689361
672	0.2120762172
673	0.2119601642
674	0.2117940803
675	0.2116502587
676	0.211548769
677	0.211412265
678	0.2112963899
679	0.2111606953
680	0.2110125584
681	0.2108987615
682	0.210793239
683	0.2106901803
684	0.2105915657
685	0.2105113472
686	0.2104032127
687	0.2102852225
688	0.2101802905
689	0.2100742051
690	0.209922671
691	0.2098021003
692	0.2097321685
693	0.2096095923
694	0.2094971999
695	0.2093706313
696	0.2092704772
697	0.2091878573
698	0.2090423261
699	0.2089237494
700	0.2088460317
701	0.2087322615
702	0.2086491736
703	0.2085663053
704	0.2084592677
705	0.2083642802
706	0.2082603682
707	0.2081585643
708	0.2079584529
