iter	Passed	Remaining
0	12	12613
1	19	9490
2	23	7808
3	28	7204
4	32	6566
5	36	6115
6	40	5785
7	44	5555
8	48	5394
9	53	5285
10	57	5195
11	63	5207
12	67	5147
13	72	5071
14	77	5088
15	85	5246
16	94	5475
17	100	5485
18	107	5562
19	113	5550
20	117	5491
21	122	5428
22	126	5374
23	131	5329
24	135	5291
25	140	5256
26	145	5226
27	149	5186
28	154	5164
29	159	5143
30	164	5126
31	169	5119
32	174	5121
33	180	5133
34	187	5175
35	193	5192
36	200	5214
37	206	5235
38	213	5251
39	219	5279
40	226	5295
41	233	5317
42	239	5338
43	246	5360
44	253	5377
45	261	5422
46	267	5431
47	274	5446
48	281	5454
49	287	5460
50	294	5473
51	300	5485
52	307	5502
53	314	5515
54	322	5534
55	329	5549
56	336	5563
57	343	5571
58	349	5574
59	357	5593
60	364	5610
61	372	5632
62	379	5638
63	386	5648
64	392	5652
65	404	5717
66	411	5728
67	423	5802
68	428	5780
69	433	5757
70	438	5735
71	443	5714
72	448	5695
73	454	5688
74	459	5673
75	465	5662
76	472	5668
77	479	5663
78	487	5683
79	496	5710
80	502	5696
81	508	5693
82	513	5668
83	517	5643
84	521	5617
85	526	5592
86	530	5569
87	535	5546
88	539	5523
89	544	5501
90	548	5481
91	553	5461
92	558	5442
93	562	5422
94	567	5407
95	572	5391
96	579	5393
97	583	5374
98	588	5353
99	592	5333
100	597	5318
101	602	5305
102	607	5287
103	612	5278
104	617	5261
105	621	5245
106	626	5231
107	631	5214
108	637	5208
109	641	5191
110	646	5180
111	652	5174
112	657	5162
113	662	5151
114	667	5139
115	673	5130
116	678	5121
117	684	5112
118	689	5108
119	696	5105
120	703	5109
121	709	5106
122	716	5105
123	723	5110
124	733	5131
125	739	5128
126	744	5117
127	749	5102
128	756	5107
129	761	5093
130	768	5099
131	773	5084
132	777	5068
133	781	5052
134	786	5038
135	794	5047
136	803	5064
137	810	5063
138	815	5051
139	820	5040
140	825	5030
141	830	5020
142	836	5012
143	841	5004
144	848	5004
145	860	5033
146	874	5073
147	881	5073
148	888	5075
149	893	5064
150	898	5052
151	903	5040
152	908	5026
153	912	5012
154	918	5006
155	923	4994
156	927	4981
157	933	4974
158	938	4964
159	944	4959
160	949	4949
161	954	4939
162	959	4928
163	965	4920
164	970	4911
165	976	4904
166	981	4898
167	987	4892
168	993	4886
169	999	4879
170	1005	4873
171	1011	4867
172	1017	4862
173	1023	4857
174	1033	4869
175	1039	4866
176	1044	4855
177	1049	4845
178	1054	4834
179	1058	4823
180	1063	4811
181	1068	4800
182	1074	4795
183	1080	4793
184	1086	4784
185	1095	4794
186	1101	4788
187	1107	4782
188	1113	4777
189	1119	4772
190	1125	4768
191	1132	4765
192	1139	4762
193	1145	4759
194	1151	4755
195	1159	4756
196	1166	4755
197	1173	4755
198	1181	4755
199	1185	4743
200	1190	4730
201	1196	4725
202	1200	4713
203	1204	4700
204	1208	4687
205	1212	4674
206	1217	4663
207	1221	4650
208	1225	4639
209	1234	4642
210	1238	4630
211	1243	4621
212	1248	4611
213	1252	4602
214	1258	4593
215	1263	4585
216	1268	4578
217	1274	4570
218	1279	4563
219	1285	4557
220	1291	4551
221	1297	4545
222	1303	4541
223	1309	4537
224	1316	4533
225	1323	4531
226	1336	4551
227	1344	4552
228	1351	4550
229	1358	4547
230	1366	4547
231	1373	4545
232	1382	4551
233	1387	4541
234	1391	4531
235	1397	4524
236	1402	4516
237	1409	4512
238	1424	4536
239	1434	4541
240	1444	4550
241	1457	4565
242	1472	4586
243	1486	4606
244	1496	4612
245	1501	4601
246	1506	4591
247	1511	4584
248	1517	4576
249	1525	4575
250	1531	4569
251	1539	4570
252	1547	4568
253	1554	4565
254	1559	4554
255	1563	4544
256	1568	4534
257	1573	4524
258	1584	4533
259	1597	4546
260	1605	4545
261	1610	4536
262	1615	4526
263	1619	4516
264	1624	4505
265	1629	4495
266	1635	4490
267	1643	4487
268	1648	4480
269	1655	4476
270	1659	4465
271	1663	4453
272	1668	4442
273	1672	4431
274	1677	4421
275	1687	4426
276	1692	4417
277	1699	4414
278	1706	4410
279	1711	4400
280	1723	4409
281	1730	4406
282	1738	4405
283	1745	4400
284	1750	4392
285	1755	4382
286	1760	4374
287	1770	4376
288	1780	4379
289	1788	4377
290	1798	4381
291	1802	4370
292	1806	4359
293	1810	4348
294	1815	4339
295	1820	4329
296	1825	4321
297	1830	4311
298	1837	4307
299	1845	4305
300	1858	4316
301	1866	4312
302	1876	4317
303	1887	4320
304	1898	4324
305	1903	4316
306	1908	4307
307	1912	4297
308	1919	4291
309	1924	4283
310	1930	4276
311	1935	4267
312	1939	4257
313	1944	4247
314	1949	4238
315	1953	4229
316	1959	4220
317	1963	4211
318	1968	4202
319	1974	4195
320	1978	4185
321	1983	4177
322	1988	4168
323	1993	4158
324	1997	4148
325	2001	4138
326	2006	4129
327	2010	4119
328	2014	4109
329	2019	4099
330	2023	4089
331	2027	4079
332	2032	4070
333	2036	4060
334	2040	4051
335	2045	4042
336	2050	4033
337	2054	4024
338	2059	4015
339	2064	4008
340	2070	4000
341	2075	3993
342	2081	3987
343	2087	3980
344	2093	3974
345	2104	3976
346	2110	3972
347	2117	3968
348	2127	3968
349	2136	3968
350	2143	3964
351	2151	3960
352	2157	3955
353	2164	3950
354	2171	3945
355	2178	3941
356	2185	3937
357	2194	3936
358	2201	3931
359	2208	3927
360	2215	3921
361	2222	3916
362	2229	3911
363	2235	3906
364	2242	3900
365	2248	3895
366	2255	3889
367	2261	3884
368	2268	3878
369	2275	3873
370	2281	3867
371	2287	3862
372	2294	3856
373	2300	3851
374	2306	3844
375	2313	3839
376	2320	3833
377	2326	3827
378	2333	3822
379	2339	3816
380	2346	3811
381	2353	3807
382	2359	3801
383	2367	3797
384	2373	3792
385	2380	3786
386	2387	3781
387	2396	3780
388	2409	3783
389	2415	3778
390	2422	3773
391	2428	3767
392	2435	3761
393	2443	3758
394	2452	3756
395	2459	3751
396	2466	3745
397	2473	3740
398	2479	3735
399	2486	3729
400	2493	3724
401	2501	3721
402	2510	3719
403	2517	3714
404	2524	3708
405	2531	3703
406	2537	3697
407	2544	3692
408	2552	3688
409	2559	3682
410	2566	3678
411	2573	3672
412	2579	3666
413	2585	3659
414	2591	3653
415	2599	3649
416	2605	3643
417	2612	3637
418	2620	3633
419	2627	3628
420	2634	3623
421	2641	3618
422	2648	3613
423	2655	3607
424	2662	3602
425	2669	3596
426	2675	3590
427	2682	3584
428	2688	3578
429	2696	3574
430	2705	3571
431	2713	3567
432	2722	3564
433	2730	3560
434	2742	3561
435	2748	3555
436	2754	3549
437	2761	3542
438	2767	3537
439	2774	3530
440	2780	3524
441	2787	3518
442	2794	3513
443	2801	3508
444	2808	3502
445	2814	3496
446	2821	3490
447	2829	3485
448	2835	3479
449	2843	3475
450	2850	3470
451	2858	3465
452	2864	3459
453	2872	3454
454	2879	3448
455	2885	3442
456	2892	3436
457	2898	3430
458	2905	3424
459	2911	3417
460	2917	3411
461	2924	3405
462	2930	3399
463	2936	3392
464	2943	3386
465	2950	3381
466	2959	3377
467	2967	3373
468	2974	3367
469	2979	3359
470	2983	3351
471	2988	3342
472	2992	3333
473	2996	3324
474	3000	3315
475	3004	3307
476	3008	3298
477	3013	3290
478	3017	3282
479	3021	3273
480	3026	3265
481	3032	3259
482	3037	3251
483	3041	3242
484	3045	3233
485	3049	3224
486	3053	3216
487	3057	3207
488	3060	3198
489	3065	3190
490	3069	3181
491	3073	3173
492	3077	3165
493	3081	3156
494	3086	3148
495	3091	3141
496	3098	3135
497	3103	3128
498	3107	3120
499	3112	3112
500	3117	3104
501	3121	3096
502	3126	3089
503	3131	3082
504	3136	3074
505	3141	3067
506	3147	3060
507	3152	3053
508	3158	3046
509	3163	3039
510	3169	3033
511	3176	3027
512	3183	3022
513	3190	3016
514	3196	3010
515	3203	3004
516	3210	2999
517	3216	2993
518	3223	2987
519	3229	2981
520	3236	2975
521	3242	2969
522	3249	2963
523	3255	2957
524	3262	2951
525	3268	2945
526	3275	2939
527	3284	2935
528	3291	2930
529	3298	2925
530	3305	2919
531	3312	2914
532	3319	2908
533	3325	2902
534	3332	2896
535	3339	2890
536	3350	2888
537	3357	2882
538	3364	2877
539	3371	2871
540	3378	2866
541	3385	2860
542	3392	2854
543	3398	2849
544	3408	2845
545	3422	2845
546	3428	2839
547	3434	2832
548	3442	2827
549	3446	2819
550	3450	2812
551	3455	2804
552	3459	2796
553	3464	2789
554	3469	2781
555	3473	2773
556	3477	2765
557	3482	2758
558	3486	2750
559	3490	2742
560	3494	2734
561	3499	2727
562	3506	2721
563	3514	2716
564	3519	2710
565	3524	2702
566	3530	2696
567	3536	2689
568	3542	2683
569	3548	2676
570	3554	2670
571	3559	2663
572	3564	2656
573	3573	2652
574	3580	2646
575	3585	2639
576	3590	2632
577	3596	2625
578	3601	2618
579	3609	2613
580	3616	2607
581	3623	2602
582	3630	2596
583	3639	2592
584	3646	2586
585	3653	2581
586	3660	2575
587	3667	2569
588	3674	2563
589	3680	2557
590	3688	2552
591	3693	2545
592	3698	2538
593	3703	2531
594	3707	2523
595	3711	2515
596	3715	2508
597	3720	2500
598	3728	2496
599	3738	2492
600	3744	2485
601	3748	2478
602	3753	2470
603	3757	2463
604	3761	2455
605	3765	2448
606	3769	2440
607	3773	2433
608	3778	2425
609	3782	2418
610	3786	2410
611	3790	2403
612	3795	2396
613	3799	2388
614	3803	2381
615	3808	2374
616	3813	2367
617	3819	2361
618	3824	2354
619	3828	2346
620	3840	2343
621	3845	2336
622	3849	2329
623	3854	2322
624	3858	2315
625	3863	2308
626	3867	2300
627	3872	2293
628	3876	2286
629	3881	2279
630	3886	2272
631	3890	2265
632	3894	2258
633	3899	2251
634	3904	2244
635	3911	2238
636	3917	2232
637	3921	2225
638	3926	2218
639	3931	2211
640	3936	2204
641	3941	2197
642	3948	2192
643	3957	2187
644	3965	2182
645	3971	2176
646	3984	2173
647	3995	2170
648	4001	2164
649	4007	2158
650	4014	2151
651	4020	2146
652	4027	2140
653	4035	2135
654	4043	2129
655	4050	2123
656	4056	2117
657	4063	2112
658	4073	2108
659	4081	2102
